Id,franchise,picked,playername,position,team,bye
316,0,0,Brandon Tate,WR,BUF,11
317,0,0,Justin Hunter,WR,PIT,7
318,0,0,Willie Snead,WR,BAL,10
319,0,0,Brian Quick,WR,WAS,4
320,0,0,Sammie Coates,WR,HOU,10
321,0,0,Breshad Perriman,WR,BAL,10
322,0,0,Markus Wheaton,WR,PHI,9
323,0,0,Michael Floyd,WR,MIN,10
324,0,0,Cameron Meredith,WR,CHI,5
325,0,0,Quincy Enunwa,WR,NYJ,11
326,0,0,Steve Smith,WR,BAL,10
327,0,0,Malcolm Mitchell,WR,NE,11
328,0,0,Victor Cruz,WR,NYG,9
329,0,0,Tajae Sharpe,WR,TEN,8
330,0,0,Doriel Green-Beckham,WR,PHI,9
331,0,0,Andrew Hawkins,WR,CLE,11
332,0,0,Andre Roberts,WR,ATL,8
333,0,0,Marquess Wilson,WR,CHI,5
334,0,0,Harry Douglas,WR,TEN,8
335,0,0,Charles Johnson,WR,CAR,4
336,0,0,Greg Salas,WR,BUF,11
337,0,0,Cecil Shorts III,WR,HOU,10
338,0,0,Leonte Carroo,WR,MIA,11
339,0,0,Anquan Boldin,WR,BUF,11
340,0,0,Eddie Royal,WR,CHI,5
341,0,0,Vincent Jackson,WR,TB,5
342,0,0,Andre Johnson,WR,IND,9
343,0,0,Allen Robinson,WR,CHI,5
344,0,0,DJ Moore,WR,CAR,4
345,0,0,Calvin Ridley,WR,ATL,8
346,0,0,Courtland Sutton,WR,DEN ,8
347,0,0,Dante Pettis,WR,SF,11
348,0,0,Christian Kirk,WR,ARI,9
349,0,0,Anthony Miller,WR,CHI ,5
350,0,0,James Washington,WR,PIT,7
351,0,0,D.J. Chark,WR,JAC,9
352,0,0,Michael Gallup,WR,DAL ,8
353,0,0,Tre'Quan Smith,WR,NO,8
354,0,0,Keke Coutee,WR,HOU,8
355,0,0,Antonio Callaway,WR,CLE ,8
356,0,0,DaeSean Hamilton,WR,DEN ,8
357,0,0,Jaleel Scott,WR,BAL ,8
358,0,0,J'Mon Moore,WR,GB,8
359,0,0,Justin Watson,WR,TB,8
360,0,0,Daurice Fountain,WR,IND ,8
361,0,0,Jordan Lasley,WR,BAL ,8
362,0,0,Marquez Valdes-Scantling,WR,GB,8
363,0,0,Damion Ratley,WR,CLE ,8
364,0,0,Deon Cain,WR,IND ,8
365,0,0,Ray-Ray McCloud,WR,BUF ,8
366,0,0,Dylan Cantrell,WR,LAC,8
367,0,0,Russell Gage,WR,ATL,8
368,0,0,Equanimeous St. Brown,WR,GB,8
369,0,0,Ced Wilson,WR,DAL ,8
370,0,0,Braxton Berrios,WR,NE,8
371,0,0,Javon Wims,WR,CHI ,8
372,0,0,Marcell Ateman,WR,OAK,8
373,0,0,Richie James,WR,SF,8
374,0,0,Auden Tate,WR,CIN,8
375,0,0,Austin Proehl,WR,BUF ,8
376,0,0,Trey Quinn,WR,WAS,8
377,0,0,O.J. Howard,TE,TB,5
378,0,0,Travis Kelce,TE,KC,12
379,0,0,Rob Gronkowski,TE,NE,11
380,0,0,Jack Doyle,TE,IND,9
381,0,0,David Njoku,TE,CLE,11
382,0,0,Jimmy Graham,TE,GB,7
383,0,0,Austin Hooper,TE,ATL,8
384,0,0,Zach Ertz,TE,PHI,9
385,0,0,Trey Burton,TE,CHI,5
386,0,0,Evan Engram,TE,NYG,9
387,0,0,Kyle Rudolph,TE,MIN,10
388,0,0,Tyler Eifert,TE,CIN,9
389,0,0,Greg Olsen,TE,CAR,4
390,0,0,Delanie Walker,TE,TEN,8
391,0,0,Cameron Brate,TE,TB,5
392,0,0,Hunter Henry,TE,LAC,8
393,0,0,Jason Witten,TE,DAL,8
394,0,0,Tyler Kroft,TE,CIN,9
395,0,0,Vernon Davis,TE,WAS,4
396,0,0,Benjamin Watson,TE,NO,6
397,0,0,Jared Cook,TE,OAK,7
398,0,0,Eric Ebron,TE,IND,9
399,0,0,Charles Clay,TE,BUF,11
400,0,0,Marcedes Lewis,TE,GB,7
401,0,0,George Kittle,TE,SF,11
402,0,0,Garrett Celek,TE,SF,11
403,0,0,Julius Thomas,TE,MIA,11
404,0,0,Jesse James,TE,PIT,7
405,0,0,Antonio Gates,TE,,
406,0,0,Austin Seferian-Jenkins,TE,JAC,9
407,0,0,Ed Dickson,TE,SEA,7
408,0,0,Coby Fleener,TE,NO,6
409,0,0,Jermaine Gresham,TE,ARI,9
410,0,0,Ricky Seals-Jones,TE,ARI,9
411,0,0,Luke Willson,TE,DET,6
412,0,0,Jordan Reed,TE,WAS,4
413,0,0,Zach Miller,TE,CHI,5
414,0,0,Martellus Bennett,TE,NE,11
415,0,0,Ryan Griffin,TE,HOU,10
416,0,0,Vance McDonald,TE,PIT,7
417,0,0,Lance Kendricks,TE,GB,7
418,0,0,Virgil Green,TE,LAC,8
419,0,0,Richard Rodgers,TE,PHI,9
420,0,0,Brent Celek,TE,PHI,9
421,0,0,Dwayne Allen,TE,NE,11
422,0,0,Anthony Fasano,TE,MIA,11
423,0,0,C.J. Fiedorowicz,TE,HOU,10
424,0,0,Maxx Williams,TE,BAL,10
425,0,0,Michael Hoomanawanui,TE,NO,6
426,0,0,Clive Walford,TE,NYJ,11
427,0,0,Will Tye,TE,NE,11
428,0,0,Blake Bell,TE,MIN,10
429,0,0,Dennis Pitta,TE,BAL,10
430,0,0,John Phillips,TE,NO,6
431,0,0,Jace Amaro,TE,TEN,8
432,0,0,Jacob Tamme,TE,ATL,8
433,0,0,Ladarius Green,TE,,
434,0,0,Larry Donnell,TE,NYG,9
435,0,0,Jordan Cameron,TE,MIA,11
436,0,0,Gary Barnidge,TE,CLE,11
437,0,0,Hayden Hurst,TE,BAL,8
438,0,0,Mike Gesicki,TE,MIA,11
439,0,0,Dallas Goedert,TE,PHI,9
440,0,0,Mark Andrews,TE,BAL,8
441,0,0,Jordan Akins,TE,HOU,10
442,0,0,Ian Thomas,TE,CAR,4
443,0,0,Chris Herndon,TE,NYJ,11
444,0,0,Will Dissly,TE,SEA,7
445,0,0,Durham Smythe,TE,MIA,11
446,0,0,Dalton Schultz,TE,DAL,8
447,0,0,Troy Fumagalli,TE,DEN,8
448,0,0,Tyler Conklin,TE,MIN,10
449,0,0,Jordan Thomas,TE,HOU,10
450,0,0,Ryan Izzo,TE,NE,11
451,0,0,Dustin Hopkins,K,WAS,4
452,0,0,Dan Bailey,K,DAL,8
453,0,0,Matt Bryant,K,ATL,8
454,0,0,Will Lutz,K,NO,6
455,0,0,Justin Tucker,K,BAL,10
456,0,0,Chris Boswell,K,PIT,7
457,0,0,Stephen Gostkowski,K,NE,11
458,0,0,Greg Zuerlein,K,LAR,12
459,0,0,Robbie Gould,K,SF,11
460,0,0,Harrison Butker,K,KC,5
461,0,0,Ryan Succop,K,TEN,8
462,0,0,Matt Prater,K,DET,6
463,0,0,Kai Forbath,K,MIN,10
464,0,0,Steven Hauschka,K,BUF,11
465,0,0,Phil Dawson,K,ARI,9
466,0,0,Jake Elliott,K,PHI,9
467,0,0,Graham Gano,K,CAR,4
468,0,0,Adam Vinatieri,K,IND,9
469,0,0,Chandler Catanzaro,K,TB,5
470,0,0,Brandon McManus,K,DEN,10
471,0,0,Blair Walsh,K,SEA,7
472,0,0,Ka'imi Fairbairn,K,HOU,10
